question,answer,topic
What is AI?,AI is the simulation of human intelligence in machines.,Technology
How to bake a cake?,"Mix ingredients, bake for 30-40 minutes.",Cooking
How to install Python on Windows?,"To install Python, download it from the official Python website and follow the installation instructions.",Science
What is the capital of France?,The capital of France is Paris.,Mathematics
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius or 212 degrees Fahrenheit at sea level.,Biology
What is photosynthesis?,Photosynthesis is the process by which green plants and some other organisms use sunlight to synthesize foods from carbon dioxide and water.,Biology
What is the tallest mountain?,Mount Everest is the tallest mountain in the world.,Technology
How does the internet work?,The internet is a global network of interconnected computers.,Mathematics
How to set up a web server?,"To set up a web server, install server software like Apache or Nginx and configure it to serve your web pages.",Mathematics
What is quantum computing?,Quantum computing is a type of computation that utilizes quantum-mechanical phenomena such as superposition and entanglement.,Science
